"Haastrooli_1OmEiosall_2OmOsall_3Esimies","Tuotsuunta","Tautsu_012","PORSOSASTO_kertayt_0ei","PORS_pesu_0ei","PORS_desinf_0ei_1LIU_2KUIVA","PORS_tyhjana_mi1vr_0ei","Tuhoelmerkkeja_0kylla_1ei","kissoja0on1ei","Kotielain_sikalaan_0kylla_1ei","Vesi_1kunn_0oma","ClC","ClA","SI","APP","Loisaika_1ennenpors_2_porskars","Ton_tiheys_1aina_2jaetaan","Muutelkaynn_0ei_1_satunn_2kaynnmuusaann","maitokuume","metriitti","valuttelu","mastiitti","ontuma","syomattomyys","kuume","loukkaantuminen","AB_rutiinilaak","Oksitosiini_rutiinisti","Kaynnistys_rutiinisti","NSAID_porsituksessa_rutiini","OMATENSIKOT_0EI_1KYLLa","Ensikk_yhdist_1ennsiem_2tiineena_3porsjalk_4tilantmuk","Kiimantark_ryhmakaytt","Kiimantarkalkaa_vrkvier","Kiimamerk_emakonselka","Kiimantark_postsiem","Postsiem_ryhmakaytt_havainnointi","Tiin_ultra2","Kaynnistaminen_0ei_1rutiini_2yliaika_3ryhma_4satunnainen","Pesantekomatmaara_1runsas_2jnkv_3niukka","PorsitusNSAID_0ei_1rutiinisti_2tarvittaessa","AS_maara123","AS_annostelu1234","AS_sairkars","AS_ruoklaite12345","AS_ruokpaikka","TII_alusta12345","TII_latt_rakenne1234","TII_kuiv_mat12345","TII_maara1234","TII_tonkimat_6_mika","TII_lelu1234","TII_maara123","TII_annostelu1234","TII_sairkars","POR_latt_rakenne1234","POR_maara1234","POR_tonkimat_6_mika","POR_lelu1234","POR_mat_vaiht","POR_maara123","POR_annostelu1234","Koulmax_1peru_2ops_3a_4amk_5yl","Stressi_1erpal_4jnkv","EMKUOLLJAKO","EMPOISJAKO","EMENKUOLLJAKO","EMENPOISJAKO","NIVEL_01","MAKUU01","KOKO_01","OSA_01","JOKUHYLK_01","PLEUR_01","PNEUM_01","SAIRKARS_AST_TII","Karjut_astsiem","emakot","ensikot","lihasiat","karjut","kokemusave","kokemusmax","emakoitaper","nivelpros","paisepros","keuhtulpros","keuhkopros","kokopros","osapros","emkuol","empoisp"
"1","2","2","0","1","1","1","1","1","1","1","0","0","0","1","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","1","1","1","1","1","6","2","2","2","2","1","0","4","1","1","13","2","4","1","4","2","1","1","123","4","1","4","1","2","1","3","3","0","0","1","0","1","1","1","2","1","0","2","0","0",1000,156,0,6,10,20,166.67,1.02,8.5,1.36,1.7,1.36,13.27,8.31,35.44
"2","2","0","0","0","1","0","0","0","1","1","0","0","0","0","1","1","0","1","1","0","0","0","0","0","0","0","1","0","0","0","2","0","5","0","1","1","6","0","2","2","2","1","0","4","1","1","13","2","3","1","4","2","1","1","12","3","1","4","1","2","1","3","3","0","0","0","0","2","1","2","1","2","1","1","1","0",140,0,600,2,30,30,70,4.65,6.98,0,13.95,2.33,6.98,3.53,33.9
"2","1","2","0","1","2","0","0","0","1","0","0","0","0","0","2","1","0","1","0","0","0","1","1","0","1","0","1","0","0","1","3","1","1","1","1","0","6","0","2","2","3","1","0","4","1","1","13","2","4","1","2","2","1","1","12","4","1","4","1","1","1","3","3","0","0","0","0","1","1","1","1","1","0","1","0","2",391,73,207,2,24,40,97.75,2.1,6.8,0.92,1.7,1.36,11.21,5.14,47.61
"2","2","1","1","1","12","0","0","1","0","0","0","0","1","0","1","1","2","1","1","1","0","1","1","0","1","0","1","1","0","0","3","1","1","1","1","1","6","1","2","2","2","1","1","4","1","1","1","2","4","1","4","3","1","1","12","3","1","4","1","3","1","5","2","1","1","1","1","2","2","1","2","2","1","2","1","0",700,250,1120,4,13,25,116.67,5.11,9.27,1.28,31.63,1.28,18.53,23.33,68.68
"2","1","1","0","1","0","0","1","1","1","1","0","0","0","1","1","1","1","1","0","0","0","1","1","0","0","0","0","0","0","1","2","1","1","1","1","1","6","0","2","2","2","1","1","4","1","1","13","2","2","1","5","2","1","1","12","2","1","5","1","2","1","3","3","1","0","1","0","1","1","1","1","1","0","2","1","0",270,50,50,3,19,35,135,1.94,6.8,0.97,0.97,0.97,10.68,10.69,44.67
"3","1","2","1","1","1","1","0","1","1","1","0","0","0","0","1","1","2","0","0","0","0","1","0","1","1","1","0","0","1","1","3","0","3","1","1","0","6","4","2","1","2","1","1","4","1","1","13","2","3","1","4","2","2","1","12","2","4","4","1","2","1","3","3","1","1","1","1","2","1","1","1","1","0","1","1","6",956,30,0,3,17,33,147.08,3.2,5.49,0.92,1.6,0.92,11.21,13.76,58.27
"2","2","0","0","1","0","1","0","0","1","1","0","0","0","0","1","1","1","0","0","0","1","1","1","0","1","0","0","0","0","1","3","1","1","1","1","1","6","4","2","2","2","1","0","4","1","1","13","2","3","1","4","2","1","1","12","3","1","4","1","2","1","3","2","0","0","0","0","2","1","1","2","1","0","1","1","1",84,20,600,1,33,40,42,10.81,5.41,0,0,0,16.22,2.2,42.9
"1","1","1","0","1","0","1","0","0","1","1","0","0","0","0","2","1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","3","1","0","1","1","1","6","0","2","2","2","0","0","0","1","1","13","2","3","1","24","2","1","1","12","2","1","4","1","2","1","3","4","1","1","1","1","2","2","2","2","2","0","1","1","0",74,0,5,2,25,30,37,13.33,0,0,0,6.67,20,17.09,52.57
"2","2","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0","1","0","0","1","0","0","1","0","1","0","0","1","2","0","1","1","1","1","6","0","2","2","2","1","0","4","1","1","13","2","4","3","4","2","1","0","12","3","4","4","1","2","1","4","1","1","1","1","1","1","2","1","1","2","1","2","0","0",155,25,330,2,25,30,77.5,1.3,7.79,2.6,36.36,0,9.09,10.83,59.9
"3","1","2","1","1","1","0","1","1","1","1","0","0","0","0","1","1","1","1","1","0","1","1","1","0","0","0","0","0","1","1","3","1","1","1","1","1","6","2","2","1","2","1","0","4","1","1","13","14","2","4","4","2","1","1","12","2","1","4","1","2","1","3","3","1","1","1","0","1","1","2","1","1","0","1","1","0",670,170,10,3,11,20,134,1.83,7.76,0.46,1.83,1.37,10.05,18.59,50.66
"1","2","1","1","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","0","1","0","0","0","0","3","1","1","1","1","1","6","4","2","2","3","1","1","4","1","1","12","2","4","1","4","3","1","1","2","3","1","4","1","3","1","4","2","0","0","0","0","2","2","2","2","2","1","2","1","0",600,65,2000,2,17,30,120,2.97,14.83,1.69,30.51,3.81,20.34,6.86,45.54
"1","1","0","0","0","2","1","0","0","1","1","0","0","1","0","2","1","0","1","0","0","1","0","0","0","0","1","0","0","0","1","3","1","0","1","1","1","6","4","2","2","2","1","1","4","1","1","13","2","23","5","4","1.5","1","1","13","3","4","4","1","2","1","3","4","1","1","1","1","2","2","2","2","2","0","2","1","0",380,30,40,2,15,22,100,3.92,6.86,3.59,3.59,1.96,14.38,14.04,93.61
"1","2","2","0","1","1","1","0","0","1","0","0","0","0","0","2","1","1","0","0","0","0","0","1","1","1","0","0","0","0","1","3","1","3","1","1","1","6","0","2","2","0","1","0","4","1","1","12","12","3","2","4","2","4","1","12","2","3","4","1","2","2","3","1","1","0","0","0","1","1","1","1","1","0","1","1","0",60,2,0,1,15,15,60,2.1,6.8,0.92,1.7,1.36,11.21,10.19,47.61
"1","2","0","0","1","1","1","0","0","1","1","0","0","0","0","1","1","0","1","1","0","1","1","1","0","0","0","0","0","0","1","3","1","1","1","1","1","6","4","1","2","2","1","0","4","1","1","1","12","2","1","4","2","1","1","2","2","1","3","1","2","1","3","4","1","0","0","0","1","1","1","1","1","0","1","1","0",180,0,0,4,20,30,60,2.1,6.8,0.92,1.7,1.36,11.21,14.74,47.61
"2","1","2","1","1","2","1","0","1","1","0","0","0","0","0","1","1","2","1","1","0","1","1","1","0","0","0","1","1","0","0","3","1","1","1","1","1","6","2","2","2","2","1","1","4","1","1","13","2","3","1","4","2","1","1","12","3","1","4","1","2","1","3","3","1","1","1","1","1","2","2","2","2","1","2","1","0",1000,0,0,7,16,30,142.86,2.1,12.01,1.5,27.63,4.2,18.92,16.8,52.19
"2","1","1","0","1","1","1","0","1","1","1","0","0","0","0","1","1","1","0","0","0","0","1","1","0","0","0","1","0","0","1","3","1","1","1","1","0","6","0","3","2","2","1","0","4","1","1","13","2","3","1","4","2","1","1","12","3","1","4","1","2","1","4","2","1","1","1","1","1","1","1","1","1","0","1","1","0",500,120,214,3,4,6,166.67,1.54,4.23,0,0.38,0.38,8.08,11.81,67.66
"3","1","1","0","0","0","1","0","0","1","0","0","0","0","1","2","1","0","0","1","1","1","0","0","0","1","0","0","0","0","0","3","1","1","1","1","1","6","4","3","2","2","1","0","4","1","1","13","2","3","1","4","2","1","1","12","3","1","4","1","2","1","2","3","0","0","0","1","1","1","1","1","1","0","1","1","0",800,25,0,4,14,27,133.33,0.32,4.81,0.64,0.96,1.28,9.29,5.68,45.03
"2","2","1","1","0","0","0","1","0","0","1","0","0","0","0","2","1","1","1","0","0","0","1","0","0","1","0","1","0","0","1","3","1","0","1","1","1","6","0","3","2","2","1","0","4","1","1","13","2","3","1","4","2","1","1","12","3","1","4","1","2","1","3","2","0","1","0","1","2","1","1","2","1","0","2","1","0",140,37,810,2,35,35,70,4.05,9.46,2.7,0,0,14.86,6.76,56.79
"3","1","2","1","1","1","0","0","1","1","0","0","0","0","0","2","1","2","0","1","0","0","1","1","0","0","0","1","1","0","0","3","1","5","1","1","1","6","1","2","2","2","1","0","4","1","1","23","2","4","1","4","2","1","0","12","4","1","3","1","2","1","3","4","1","1","1","1","2","2","2","2","2","1","2","0","0",1180,100,25,7,11,20,196.67,3.25,15.21,1.62,29.41,2.84,18.86,18.82,60.71
"2","2","2","0","1","2","1","0","0","1","1","0","0","0","0","2","1","1","0","0","1","0","1","1","1","1","1","1","0","1","1","3","1","0","1","1","1","6","4","2","1","2","1","0","4","1","1","13","2","3","1","4","2","1","1","12","3","1","4","1","2","1","3","2","1","0","1","0","1","2","2","2","2","1","2","1","0",310,40,1800,3,6,10,51.67,2.04,10.2,2.04,23.47,2.04,11.22,10.73,43.58
"3","1","1","1","1","2","1","0","0","1","1","1","0","0","1","1","1","1","1","1","0","0","1","1","0","1","0","1","0","0","0","3","1","1","1","1","1","6","4","2","2","3","1","0","4","1","1","13","14","1","1","4","1","1","1","2","4","1","4","1","2","1","5","4","0","0","0","0","2","1","1","1","1","0","1","1","0",830,0,0,4,15,25,138.33,3.5,3.85,0.35,1.4,0.7,10.84,5.59,41
"1","1","0","0","0","0","0","0","0.5","1","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","1","3","1","5","1","1","1","6","2","2","2","2","1","1","4","1","1","13","2","3","1","4","2","1","1","12","3","1","4","1","2","1","2","4","1","1","1","1","1","2","2","1","1","0","2","1","0",52,15,20,3,23,23,20.8,0,1.89,1.89,0,1.89,0,14.07,120.6
"2","1","2","1","1","1","1","0","0.5","1","1","1","0","1","1","2","1","2","0","1","1","0","1","0","0","1","0","1","0","0","1","3","1","4","1","1","1","6","2","2","2","2","1","0","4","1","1","13","2","3","1","4","2","1","1","12","3","1","4","1","2","1","2","4","1","1","1","1","2","1","2","2","2","0","2","1","0",1102,43,0,7,3,25,220.4,4.57,9.64,1.02,5.08,4.06,19.29,16.36,58.41
