"MG_feedtimes_preg","MG_feedtimes_far","MG_feed_liq_solid","MG_sowsincratespostmix","MG_materialtogetherwithmixing_0no_1yes","MG_rootingmat","MG_mixing_1ok_2tmp_3notmp_4oktmp","MG_owngilts","MG_owngilts.1","MG_instriple","MG_instriple.1","MG_aveins","MG_ind_feed","MG_BR_bedtype","MG_BR_amount","MG_BR_root01","MG_BR_toy01","MG_sickpen","MG_BR_dirt","MG_BR_feedtype","MG_BR_feedclean","MG_BR_dirtanim","MG_BR_ster","MG_EPHAR_kaNUM","MG_PR_type","MG_PR_root","MG_PR_toy","MG_rootamount","MG_PR_kuivaliete","MG_PR_ruok_0nonlock_1lock","MG_PR_feedtype","MG_PR_dirt","MG_PR_ster","MG_LPHAR_kaNUM","MG_FAR_bed","MG_FAR_bed12345","MG_FAR_bedamount","MG_FAR_root","MG_FAR_toy","MG_FAR_toynum","MG_FAR_rootamount","MG_FAR_dirt","MG_FAR_diranim","MG_PREG_toy","MG_BR_toy","MG_FAR_toytoinen","MG_SOWSperworker","OUT_SOWmortpro","OUT_SOWmortdic","OUT_SOWtotremoproNUM","OUT_SOWtotremdic","OUT_SOWcullproNUM","OUT_SOWculdic","OUT_JOINTproNUM","OUT_ABSproNUM","OUT_PLEURproNUM","OUT_PNEUMproNUM","OUT_LIVERproNUM","OUT_ORGANproNUM","OUT_SHOULDERproNUM","OUT_ALLproNUM","OUT_PARTproNUM","OUT_ANYproNUM","OUT_ALL_01","OUT_PART_01","OUT_ANY_01"
2,3,"sol","0",0,2,2,100,1,"0","0","2",0,1,1,"1","0",1,0,4,"0",10,0,"0,1",1,1,0,1,2,1,4,10,0,".3 ",1,2,3,1,1,4,2,10,10,"2","2","2",42,2,0,43,0,41,1,11,5,0,0,0,0,0,0,16,16,1,2,1
2,3,"liq","0",1,1,4,80,1,"0","0","1",1,2,3,"y","y",1,10,2,"0",20,0,"0,2",124,1,24,2,2,0,2,20,0,"0,294117647058823",1,2,2,1,0,NA,2,0,0,"3","3","2",37,17,1,53,1,35,0,13,0,0,0,0,13,7,7,20,33,2,2,2
3,3,"liq","0",1,1,2,95,1,"0","0","2",1,0,4,"n","y",0,0,4,"0",10,1,"0,3",123,1,1,2,2,0,5,20,1,"0,1",1,25,3,1,0,NA,2,50,50,"1","2","2",78,11,1,60,1,49,1,1,8,36,3,0,0,13,0,9,49,1,1,2
2,4,"liq","0",1,2,1,100,1,"10","1","2",1,2,3,"0","1",1,30,4,"0",30,0,"1",2,1,4,2,1,0,3,30,0,"1,1",1,245,2,1,1,4,2,0,10,"3","3","2",134,19,1,51,1,32,0,2,8,2,0,0,0,1,1,10,11,2,1,1
2,3,"liqsol","0",0,0,4,0,0,"10","1","2",0,0,0,"0","0",0,10,4,"0",10,0,"0,6",12,0,0,0,2,1,4,0,0,"",1,2,3,0,1,4,2,10,10,"0","0","1",120,7,0,46,1,39,1,3,15,31,2,0,0,23,4,20,55,2,2,2
2,3,"sol","0",1,1,2,100,1,"10","1","2",0,0,0,"0","1",1,20,4,"0",20,0,"0,45",2,1,4,2,2,0,3,65,0,"",1,12,2,1,1,4,2,50,50,"2","1","1",NA,14,1,94,1,80,1,4,7,4,4,7,5,5,2,14,27,2,2,2
2,3,"liq","0",1,2,2,50,1,"0","0","2",0,1,3,"1","0",1,NA,4,"0",10,0,"0,6",2,1,0,2,2,0,2,20,0,"",1,2,2,1,1,4,2,10,10,"1","2","2",60,10,1,24,0,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,3,"sol","0",1,0,4,100,1,"5","1","2",1,12,2,"13","0",0,0,2,"0",50,0,"0",2,1,0,2,1,0,2,50,0,"0,2",1,12,2,1,1,3,2,20,20,"1","noinfo","2",60,15,1,38,0,24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,3,"sol","1",1,1,2,0,0,"3","1","2",1,0,0,"0","0",1,20,4,"0",20,0,"#JAKO/0!",23,1,0,2,2,1,4,NA,0,"0,3",1,12,3,1,1,3,2,10,NA,"1","noinfo","3",143,17,1,52,1,35,0,2,12,28,2,0,0,9,4,19,47,2,2,2
2,3,"sol","0",1,1,2,100,1,"5","1","2",1,0,0,"2","0",0,100,4,"0",10,0,"0",2,0,14,0,2,3,3,10,0,"",0,0,0,1,1,4,2,10,0,"3","1","2",167,12,1,68,1,56,1,2,4,0,0,0,0,2,0,8,8,1,1,1
2,3,"liq","0",1,2,1,0,0,"5","1","2",1,1,3,"1","1",1,20,4,"0",20,0,"1,45",13,1,0,2,12,1,4,35,0,"",1,14,3,0,0,NA,0,0,0,"2","3","1",133,6,0,45,0,39,1,0,5,1,1,0,0,2,1,9,11,1,1,1
4,4,"liq","0",1,2,2,100,1,"30","2","2",1,12,2,"y","0",1,0,4,"0",0,0,"0,2",2,1,2,2,2,0,3,20,0,"",1,12,3,1,1,24,2,30,NA,"3","3","3",70,7,0,57,1,50,1,4,9,0,3,0,0,3,0,15,15,1,2,1
2,3,"liqsol","0",1,1,2,0,0,"15","1","2",1,0,4,"0","1",1,20,4,"0",20,1,"0,3",1,1,4,2,2,0,1,40,0,"",0,0,4,0,1,3,0,30,0,"0","1","1",197,19,1,61,1,42,1,3,15,29,2,0,0,8,3,19,47,2,2,2
2,3,"solliq","2",NA,0,3,100,1,"10","1","2",1,0,4,"0","0",1,0,4,"0",30,0,"0,6",13,1,0,1,1,1,4,20,0,"0,9",1,2,3,1,0,NA,2,0,0,"2","0","2",52,11,1,41,0,35,0,2,10,23,2,0,0,7,2,11,39,2,2,2
2,4,"liq","3",1,2,1,0,0,"5","1","2",0,14,1,"1","0",1,10,4,"0",10,0,"0,6",1,1,0,1,12,1,4,10,0,"",0,0,4,1,0,NA,2,0,10,"2","1","1",138,6,0,44,0,33,0,4,4,1,0,0,0,2,1,11,12,1,1,1
2,3,"liq","0",NA,1,2,100,1,"1","1","2",1,1,1,"1","1",1,0,4,"0",0,0,"0,65",1,1,0,1,1,1,4,0,0,"0,8",1,2,1,1,0,0,1,0,0,"3","3","2",21,14,1,121,1,107,1,0,2,0,2,11,0,8,2,0,19,2,1,1
2,3,"sol","0",1,1,2,100,1,"33","2","2",1,2,3,"0","0",1,0,4,"0",0,0,"0,5",1,1,3,1,1,0,6,30,0,"",0,0,4,0,1,1,0,0,0,"3","1","0",220,16,1,58,1,42,1,5,10,5,1,0,0,4,4,19,24,2,2,2
